Order_ID,Order_Create_Date,Order_Pickup_Date,Order_Pickup_Store,Pickup_Store_Name,Pickup_Store_Address,Pickup_Store_Phone,Pickup_Store_City,Pickup_Store_State_Name,Order_Return_Date,Order_Return_Store,Return_Store_Name,Return_Store_Address,Return_Store_Phone,Return_Store_City,Return_Store_State,Customer_ID,Customer_Name,Customer_Phone,Customer_Address,Customer_Birthday,Customer_Occupation,Customer_Gender,Car_ID,Car_MakeName,Car_Model,Car_Series,Car_SeriesYear,Car_PriceNew,Car_EngineSize,Car_FuelSystem,Car_TankCapacity,Car_Power,Car_SeatingCapacity,Car_StandardTransmission,Car_BodyType,Car_Drive,Car_Wheelbase
3,03/07/2005,03/07/2005,3,Darlinghurst_Store,5844 Linden Land,543-535-0184,Darlinghurst,New South Wales,11/07/2005,16,Springwood_Store,244 Willow Pass Road,208-535-0142,Springwood,New South Wales,11014,Sydney B,431-535-015,,08/05/1972,Labour,M,14806,LAND ROVER,DISCOVERY 3,HSE,2006.0,83650.0,2.7L,DIESEL TURBO F/INJ,82L,140Kw,7.0,6A,4D WAGON,4WD,2885mm
4,04/07/2005,04/07/2005,12,North Sydney_Store,1224 Shoenic,543-535-0117,North Sydney,New South Wales,09/07/2005,8,Matraville_Store,942 Brook Street,543-535-0126,Matraville,New South Wales,11012,Lauren W,717-535-016,,07/01/1972,Labour,F,14816,LAND ROVER,DISCOVERY,SERIES II S 4x4,2003.0,55450.0,4.0L,MULTI POINT F/INJ,93L,136Kw,7.0,4A,4D WAGON,4WD,2540mm
5,05/07/2005,05/07/2005,5,Lane Cove_Store,7553 Harness Circle,543-535-0131,Lane Cove ,New South Wales,10/07/2005,5,Lane Cove_Store,7553 Harness Circle,543-535-0131,Lane Cove ,New South Wales,11011,Curtis L,543-535-011,,14/11/1967,Labour,M,14810,LAND ROVER,DISCOVERY,Tdi 4x4,1996.0,51800.0,2.5L,DIESEL TURBO,88.5L,83Kw,5.0,4A4x4,4D WAGON,4WD,2540mm
7,06/07/2005,09/07/2005,6,Lavender Bay_Store,7305 Humphrey Drive,543-535-0151,Lavender Bay,New South Wales,15/07/2005,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,11011,Curtis L,543-535-011,,14/11/1967,Labour,M,14812,LAND ROVER,DISCOVERY,ES V8 4x4,1999.0,66000.0,4.0L,MULTI POINT F/INJ,95L,132Kw,7.0,4A,4D WAGON,4WD,2540mm
8,07/07/2005,07/07/2005,7,Malabar_Store,2612 Berry Dr,543-535-0184,Malabar ,New South Wales,15/07/2005,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11014,Sydney B,431-535-015,,19/05/1972,Labour,M,14814,LAND ROVER,DISCOVERY,SERIES II SE 4x4,2004.0,71450.0,4.0L,MULTI POINT F/INJ,93L,136Kw,7.0,4A,4D WAGON,4WD,2540mm
9,08/07/2005,09/07/2005,8,Matraville_Store,942 Brook Street,543-535-0126,Matraville,New South Wales,16/07/2005,29,Findon_Store,9111 Rose Ann Ave,543-535-0116,Findon,South Australia,11016,Wyatt H,135-535-017,,07/04/1983,Labour,M,14816,LAND ROVER,DISCOVERY,SERIES II S 4x4,2003.0,55450.0,4.0L,MULTI POINT F/INJ,93L,136Kw,7.0,4A,4D WAGON,4WD,2540mm
11,09/07/2005,09/07/2005,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,18/07/2005,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,11014,Sydney B,431-535-015,,19/05/1972,Labour,M,14818,LAND ROVER,DISCOVERY,S 4x4,1998.0,39990.0,2.5L,DIESEL TURBO,88.5L,83Kw,5.0,5M4x4,4D WAGON,4WD,2540mm
12,11/07/2005,11/07/2005,11,North Ryde_Store,7800 Corrinne Court,543-535-0169,North Ryde,New South Wales,16/07/2005,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,11059,Ashlee A,543-535-011,,11/04/1958,Labour,F,14811,LAND ROVER,FREELANDER,XEi 4x4,2000.0,34886.0,1.8L,MULTI POINT F/INJ,59L,84Kw,5.0,5M4x4,3D HARDBACK,4WD,2535mm
14,12/07/2005,15/07/2005,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,13/08/2005,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,11017,Shannon W,543-535-019,,26/06/1948,Labour,M,14812,LAND ROVER,DISCOVERY,ES V8 4x4,1999.0,66000.0,4.0L,MULTI POINT F/INJ,95L,132Kw,7.0,4A,4D WAGON,4WD,2540mm
15,14/07/2005,15/07/2005,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,19/07/2005,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11055,Gilbert R,543-535-012,,15/03/1956,Labour,F,14814,LAND ROVER,DISCOVERY,SERIES II SE 4x4,2004.0,71450.0,4.0L,MULTI POINT F/INJ,93L,136Kw,7.0,4A,4D WAGON,4WD,2540mm
