Order_ID,Order_Create_Date,Order_Pickup_Date,Order_Pickup_Store,Pickup_Store_Name,Pickup_Store_Address,Pickup_Store_Phone,Pickup_Store_City,Pickup_Store_State_Name,Order_Return_Date,Order_Return_Store,Return_Store_Name,Return_Store_Address,Return_Store_Phone,Return_Store_City,Return_Store_State,Customer_ID,Customer_Name,Customer_Phone,Customer_Address,Customer_Birthday,Customer_Occupation,Customer_Gender,Car_ID,Car_MakeName,Car_Model,Car_Series,Car_SeriesYear,Car_PriceNew,Car_EngineSize,Car_FuelSystem,Car_TankCapacity,Car_Power,Car_SeatingCapacity,Car_StandardTransmission,Car_BodyType,Car_Drive,Car_Wheelbase,Customer_Password
3,03-07-05,03-07-05,3,Darlinghurst_store,5844 Linden Land,543-535-0184,Darlinghurst                  ,New South Wales,11-07-05,16,Springwood_store,244 Willow Pass Road,208-535-0142,Springwood                    ,New South Wales,11014,Sydney B,431-535-015,7011 Tank Drive,08-05-72,Labour,M  ,14806,LAND ROVER,DISCOVERY 3,HSE,2006,83650,2.7L,DIESEL TURBO F/INJ,82L,140Kw,7,6A,4D WAGON,4WD,2885mm,
4,04-07-05,04-07-05,12,North Sydney_store,1224 Shoenic,543-535-0117,North Sydney                  ,New South Wales,09-07-05,8,Matraville_store,942 Brook Street,543-535-0126,Matraville                    ,New South Wales,11012,Lauren W,717-535-016,785 Scott Street,07-01-72,Labour,F  ,14816,LAND ROVER,DISCOVERY,SERIES II S 4x4,2003,55450,4.0L,MULTI POINT F/INJ,93L,136Kw,7,4A,4D WAGON,4WD,2540mm,
5,05-07-05,05-07-05,5,Lane Cove_store,7553 Harness Circle,543-535-0131,Lane Cove                     ,New South Wales,10-07-05,5,Lane Cove_store,7553 Harness Circle,543-535-0131,Lane Cove                     ,New South Wales,11011,Curtis L,543-535-011,224 Shoenic,14-11-67,Labour,M  ,14810,LAND ROVER,DISCOVERY,Tdi 4x4,1996,51800,2.5L,DIESEL TURBO,88.5L,83Kw,5,4A4x4,4D WAGON,4WD,2540mm,
6,06-07-05,09-07-05,6,Lavender Bay_store,7305 Humphrey Drive,543-535-0151,Lavender Bay                  ,New South Wales,15-07-05,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,11011,Curtis L,543-535-011,224 Shoenic,14-11-67,Labour,M  ,14812,LAND ROVER,DISCOVERY,ES V8 4x4,1999,66000,4.0L,MULTI POINT F/INJ,95L,132Kw,7,4A,4D WAGON,4WD,2540mm,
7,07-07-05,07-07-05,7,Malabar_store,2612 Berry Dr,543-535-0184,Malabar                       ,New South Wales,15-07-05,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,11014,Sydney B,431-535-015,011 Tank Drive,19-05-72,Labour,M  ,14814,LAND ROVER,DISCOVERY,SERIES II SE 4x4,2004,71450,4.0L,MULTI POINT F/INJ,93L,136Kw,7,4A,4D WAGON,4WD,2540mm,
8,08-07-05,09-07-05,8,Matraville_store,942 Brook Street,543-535-0126,Matraville                    ,New South Wales,16-07-05,29,Findon_store,9111 Rose Ann Ave,543-535-0116,Findon                        ,South Australia,11016,Wyatt H,135-535-017,666 Northridge Ct.,07-04-83,Labour,M  ,14816,LAND ROVER,DISCOVERY,SERIES II S 4x4,2003,55450,4.0L,MULTI POINT F/INJ,93L,136Kw,7,4A,4D WAGON,4WD,2540mm,
9,09-07-05,09-07-05,9,Milsons Point_store,624 Peabody Road,543-535-0164,Milsons Point                 ,New South Wales,18-07-05,18,Sydney_store,7330 Saddlehill Lane,543-535-0195,Sydney                        ,New South Wales,11014,Sydney B,431-535-015,011 Tank Drive,19-05-72,Labour,M  ,14818,LAND ROVER,DISCOVERY,S 4x4,1998,39990,2.5L,DIESEL TURBO,88.5L,83Kw,5,5M4x4,4D WAGON,4WD,2540mm,
11,11-07-05,11-07-05,11,North Ryde_store,7800 Corrinne Court,543-535-0169,North Ryde                    ,New South Wales,16-07-05,13,Port Macquarie_store,4785 Scott Street,717-535-0164,Port Macquarie                ,New South Wales,11059,Ashlee A,543-535-011,255 Highland Road,11-04-58,Labour,F  ,14811,LAND ROVER,FREELANDER,XEi 4x4,2000,34886,1.8L,MULTI POINT F/INJ,59L,84Kw,5,5M4x4,3D HARDBACK,4WD,2535mm,
12,12-07-05,15-07-05,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,13-08-05,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,11017,Shannon W,543-535-019,330 Saddlehill Lane,26-06-48,Labour,M  ,14812,LAND ROVER,DISCOVERY,ES V8 4x4,1999,66000,4.0L,MULTI POINT F/INJ,95L,132Kw,7,4A,4D WAGON,4WD,2540mm,
14,14-07-05,15-07-05,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,19-07-05,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,11055,Gilbert R,543-535-012,811 The Trees Dr.,15-03-56,Labour,F  ,14814,LAND ROVER,DISCOVERY,SERIES II SE 4x4,2004,71450,4.0L,MULTI POINT F/INJ,93L,136Kw,7,4A,4D WAGON,4WD,2540mm,
15,15-07-05,15-07-05,15,Silverwater_store,9011 Tank Drive,431-535-0156,Silverwater                   ,New South Wales,24-07-05,15,Silverwater_store,9011 Tank Drive,431-535-0156,Silverwater                   ,New South Wales,11056,Michele N,543-535-017,464 Janin Pl.,13-04-57,Labour,M  ,14815,LAND ROVER,(4x4),SWB,1978,9045,2.3L,DIESEL,45L,46Kw,8,4M4x4,2D HARDTOP,4WD,2230mm,
16,16-07-05,16-07-05,29,Findon_store,9111 Rose Ann Ave,543-535-0116,Findon                        ,South Australia,17-08-05,29,Findon_store,9111 Rose Ann Ave,543-535-0116,Findon                        ,South Australia,11052,Heidi L,543-535-016,514 Via Cordona,17-08-55,Labour,F  ,14816,LAND ROVER,DISCOVERY,SERIES II S 4x4,2003,55450,4.0L,MULTI POINT F/INJ,93L,136Kw,7,4A,4D WAGON,4WD,2540mm,
18,18-07-05,18-07-05,18,Sydney_store,7330 Saddlehill Lane,543-535-0195,Sydney                        ,New South Wales,23-07-05,18,Sydney_store,7330 Saddlehill Lane,543-535-0195,Sydney                        ,New South Wales,11055,Gilbert R,543-535-012,811 The Trees Dr.,15-03-56,Labour,F  ,14818,LAND ROVER,DISCOVERY,S 4x4,1998,39990,2.5L,DIESEL TURBO,88.5L,83Kw,5,5M4x4,4D WAGON,4WD,2540mm,
19,19-07-05,20-07-05,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,10-08-05,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,11017,Shannon W,543-535-019,330 Saddlehill Lane,26-06-48,Labour,M  ,14819,LAND ROVER,(4x4),LWB,1972,5203,2.3L,DIESEL,73L,46Kw,12,4M4x4,2D HARDTOP,4WD,2768mm,
20,20-07-05,23-07-05,15,Silverwater_store,9011 Tank Drive,431-535-0156,Silverwater                   ,New South Wales,04-08-05,35,Melbourne_store,5167 Condor Place,543-535-0136,Melbourne                     ,Victoria,11052,Heidi L,543-535-016,514 Via Cordona,17-08-55,Labour,F  ,14835,BMW,7,35i EXECUTIVE,1987,136500,3.4L,ELECTRONIC F/INJ,90L,155Kw,5,4A,4D SEDAN,RWD,2833mm,
22,22-07-05,22-07-05,17,St. Leonards_store,9666 Northridge Ct.,135-535-0171,St. Leonards                  ,New South Wales,08-08-05,39,Sunbury_store,8357 Sandy Cove Lane,543-535-0114,Sunbury                       ,Victoria,11018,Clarence R,543-535-013,44 Rivewview,19-10-48,Labour,F  ,14839,BMW,3,E36 16i OPEN AIR,1995,46200,1.6L,MULTI POINT F/INJ,52L,75Kw,5,5M,3D HATCHBACK,RWD,2700mm,
23,23-07-05,23-07-05,15,Silverwater_store,9011 Tank Drive,431-535-0156,Silverwater                   ,New South Wales,07-08-05,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,11015,Chloe Y,208-535-014,44 Willow Pass Road,27-02-83,Labour,F  ,14838,BMW,5,E34 25i EXECUTIVE,1996,98200,2.5L,ELECTRONIC F/INJ,80L,141Kw,5,5A,4D SEDAN,RWD,2761mm,
24,24-07-05,27-07-05,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,12-08-05,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,11018,Clarence R,543-535-013,44 Rivewview,19-10-48,Labour,F  ,14843,BMW,3,E46 30i,2001,90700,3.0L,MULTI POINT F/INJ,63L,170Kw,5,5AS,4D SEDAN,RWD,2725mm,
25,25-07-05,25-07-05,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,14-08-05,5,Lane Cove_store,7553 Harness Circle,543-535-0131,Lane Cove                     ,New South Wales,11016,Wyatt H,135-535-017,666 Northridge Ct.,07-04-83,Labour,M  ,14850,BMW,7,35i,1984,59500,3.2L,ELECTRONIC F/INJ,100L,145Kw,5,4A,4D SEDAN,RWD,2795mm,
26,26-07-05,29-07-05,21,Caloundra_store,7156 Rose Dr.,550-535-0163,Caloundra                     ,Queensland,14-08-05,21,Caloundra_store,7156 Rose Dr.,550-535-0163,Caloundra                     ,Queensland,11018,Clarence R,543-535-013,44 Rivewview,19-10-48,Labour,F  ,14847,BMW,3,18is,1998,56600,1.9L,MULTI POINT F/INJ,65L,103Kw,5,4A,4D SEDAN,RWD,2700mm,
27,27-07-05,27-07-05,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,12-08-05,3,Darlinghurst_store,5844 Linden Land,543-535-0184,Darlinghurst                  ,New South Wales,11051,Daniel J,543-535-015,85 Sunnyvale Avenue,14-08-55,Labour,F  ,14846,BMW,X5,E53 3.0i,2004,84000,3.0L,MULTI POINT F/INJ,93L,170Kw,5,5AS,4D WAGON,4WD,2820mm,
